FEN,Move,Win Probability,FEN ID
r1b2rk1/1pp1n1pp/pqp2p2/5P2/4PB2/2N5/PPP3PP/R2Q1R1K w - - 2 14,"['d1d3', 'd1e1', 'f1f3', 'b2b3', 'd1f3', 'd1g4', 'a2a3', 'c3a4', 'a1c1', 'a2a4', 'a1b1', 'f1e1', 'h2h4', 'd1e2', 'd1d2', 'g2g4', 'h2h3', 'f4g3', 'f1g1', 'f4c1', 'c3e2', 'd1c1', 'b2b4', 'd1h5', 'c3b1', 'f4d2', 'd1b1', 'g2g3', 'e4e5', 'f4h6', 'f4g5', 'f4d6', 'f4e5', 'c3b5', 'f4c7', 'f4e3', 'f1f2', 'c3d5', 'd1d6', 'd1d8', 'd1d4', 'd1d7', 'd1d5']","[0.7335231920150604, 0.7203693739005184, 0.7121382389811245, 0.7083494652148071, 0.7045315144213936, 0.7029962348564509, 0.7022268698712444, 0.70145635827134, 0.6889744833321929, 0.6873942354748303, 0.6873942354748303, 0.6737883770370706, 0.6729785473928086, 0.6729785473928086, 0.6729785473928086, 0.6623581358171662, 0.6607092522793869, 0.659883343273332, 0.648220254322344, 0.6473801693008373, 0.6465391720148663, 0.6397788635128212, 0.6372292155838937, 0.6278152022123592, 0.6278152022123592, 0.6260928550975975, 0.6260928550975975, 0.607822300927273, 0.5477213400816676, 0.3237883625149461, 0.2607587561640227, 0.25302724901334644, 0.2523319525399643, 0.24956344857367774, 0.22364619396018004, 0.22237016798603204, 0.18539779231227405, 0.1831837401142804, 0.09761797455048427, 0.09348188324070156, 0.08311810201340841, 0.07584890441805336, 0.07507822752621851]",SE7O46
1k3br1/1q1rn3/1p1pN2p/1P2pP2/2N3p1/6P1/1Q3P1P/R4RK1 b - - 2 27,"['e7c8', 'f8g7', 'e7f5', 'e5e4', 'g8g7', 'e7d5', 'e7g6', 'g8g5', 'h6h5', 'd7c7', 'g8h8', 'g8g6', 'b7a7', 'b7f3', 'b8c8', 'd7d8', 'b7c8', 'b7d5', 'b7g2', 'b7c7', 'b7e4', 'b7h1', 'd6d5', 'e7c6', 'b7a6', 'b7a8', 'b7c6']","[0.13736406646514476, 0.11926914267573452, 0.1139595988024229, 0.11138285043817636, 0.09826859886598244, 0.09193336344131242, 0.09132043609196017, 0.08920404718859543, 0.08368104652783925, 0.08172578028842459, 0.07927305137721596, 0.07741207977412268, 0.07636671651344662, 0.06369003899095488, 0.059026740057327, 0.05336772854185651, 0.043552236438221814, 0.04264118860088395, 0.0370176306634209, 0.035854279265790434, 0.034973866201527426, 0.031319359514539014, 0.02783565274049099, 0.0215702301653819, 0.008672937562525074, 0.0, 0.0]",O6V9SP
4r1k1/pr3pp1/7p/8/4R3/8/PP3PPb/R5K1 w - - 0 23,"['g1h2', 'g1h1', 'g1f1']","[0.08801463783567065, 0.07741207977412268, 0.06347081567518353]",VUY14B
1r5b/6k1/2nN2bp/1p4pn/1P6/5P2/5BPP/3RR1K1 w - - 0 26,"['d1d5', 'g2g3', 'd1c1', 'h2h4', 'f2c5', 'd6e4', 'e1e6', 'f2e3', 'g1h1', 'h2h3', 'g2g4', 'd1d2', 'g1f1', 'e1e2', 'e1e3', 'f2d4', 'f2g3', 'e1f1', 'f2a7', 'd1a1', 'd6b5', 'd6f5', 'f3f4', 'e1e4', 'd6b7', 'd1d4', 'd6c4', 'd6f7', 'd1b1', 'd6c8', 'f2h4', 'f2b6', 'd6e8', 'e1e7', 'd1d3', 'e1e8', 'e1e5']","[0.5, 0.4944771046316658, 0.4815979155878063, 0.4724124461074959, 0.4714948226881868, 0.4696601598181785, 0.46141502858974687, 0.4605001214877426, 0.44226590014833245, 0.4304934733529298, 0.4286889425850106, 0.4241860033205554, 0.41700770288330274, 0.40808439067529095, 0.4027589492090241, 0.3983384732724953, 0.3939345129435846, 0.3904236728688792, 0.37390714490240246, 0.3721847977876407, 0.3678931833857318, 0.3534608279851336, 0.3070941655927887, 0.2878617610188755, 0.2848519525637597, 0.27446827486685393, 0.2671971513914837, 0.2275054850760267, 0.2262138557091269, 0.21794509769450665, 0.2074644899708633, 0.20385545009458939, 0.19736068787568456, 0.15240657549097442, 0.1309495413845757, 0.12928252385851996, 0.1223982532701347]",4WX0Q1
r2q1rk1/4ppbp/p2p1np1/1p2n3/3pP3/2N1B2P/PPPQBPP1/R3R1K1 w - - 0 14,"['d2d4', 'e3d4', 'a2a4', 'c3d5', 'b2b4', 'e1d1', 'f2f4', 'e3f4', 'a1d1', 'a2a3', 'd2c1', 'b2b3', 'e2f1', 'g2g3', 'e1f1', 'e1b1', 'g2g4', 'g1h1', 'c3b1', 'e3h6', 'e1c1', 'g1f1', 'a1b1', 'h3h4', 'd2d1', 'g1h2', 'e2d3', 'c3d1', 'a1c1', 'e3g5', 'c3b5', 'f2f3', 'e2d1', 'e2f3', 'e2g4', 'e2b5', 'e2c4', 'c3a4', 'd2d3', 'e2h5']","[0.497238468079986, 0.4659933421436654, 0.1322117556602187, 0.12559775111922367, 0.12358976412903044, 0.11811367252912824, 0.11811367252912824, 0.11248087332490314, 0.11138285043817636, 0.1085005324218955, 0.10533642481155803, 0.10361398030487234, 0.10327249441731556, 0.10293200474653547, 0.10157996710955025, 0.10057629832289083, 0.10024370428970547, 0.09991208792971568, 0.09958144717646433, 0.09958144717646433, 0.0992517799624475, 0.09892308421915808, 0.09729410510118269, 0.09537095564452558, 0.09442218785969808, 0.09442218785969808, 0.09348188324070156, 0.09254998565401296, 0.08831063994889787, 0.08683957548832155, 0.08596761401203978, 0.08567872727108866, 0.08481733928130131, 0.07355842196199991, 0.07133176859971574, 0.06413060406412313, 0.06390996781621955, 0.05841618363161599, 0.05208049726347597, 0.0468893050040472]",QNZCYP
3r3k/p1qr1pp1/1p2p3/8/2PBQ3/1P6/P4PPP/1R3RK1 b - - 0 23,"['d7d4', 'f7f5', 'f7f6', 'a7a5', 'c7b7', 'c7c8', 'd8f8', 'a7a6', 'd8e8', 'c7b8', 'd8c8', 'b6b5', 'h8g8', 'd7d6', 'e6e5', 'c7d6', 'c7h2', 'd7e7', 'd8b8', 'c7c4', 'c7c6', 'd7d5', 'c7c5', 'd8a8', 'c7g3', 'c7f4', 'c7e5', 'd8g8']","[0.47608474251652944, 0.12358976412903044, 0.11583180176076446, 0.11284897623993229, 0.11248087332490314, 0.11211381938667214, 0.110656053362296, 0.11029421425487995, 0.10993341208440888, 0.10779026169080513, 0.10673252134178429, 0.1056839310673574, 0.10361398030487234, 0.10024370428970547, 0.0992517799624475, 0.09892308421915808, 0.09317031936972209, 0.08539072061698, 0.08453196045763806, 0.07954221878235157, 0.07584890441805336, 0.072561005162597, 0.06940492607857218, 0.06637629759533209, 0.06217018468833663, 0.05135816615735628, 0.03876229404260456, 0.0]",XJHKXZ
rnbqkb1r/pppp1ppp/4pn2/8/3P4/2N5/PPP1PPPP/R1BQKBNR w KQkq - 0 3,"['e2e4', 'c1g5', 'a2a3', 'c1f4', 'g1f3', 'g2g3', 'h2h4', 'h2h3', 'e2e3', 'g2g4', 'c1e3', 'd1d3', 'c1d2', 'a2a4', 'g1h3', 'a1b1', 'f2f4', 'b2b3', 'c3b1', 'd1d2', 'c3a4', 'f2f3', 'd4d5', 'c3b5', 'e1d2', 'b2b4', 'c1h6', 'c3d5', 'c3e4']","[0.5330902822991305, 0.5184020844121936, 0.5, 0.49539752999711567, 0.4926363724400336, 0.48343670268785593, 0.4815979155878063, 0.477921885909709, 0.477921885909709, 0.4742482461063748, 0.4733302559691369, 0.4724124461074959, 0.4650771960458313, 0.46324561670945996, 0.4605001214877426, 0.4605001214877426, 0.4559296988800415, 0.45319095389262815, 0.4513666864926168, 0.44499235158754635, 0.44408315815517135, 0.4386360651319824, 0.4332037205612503, 0.415218486764101, 0.4089741028083871, 0.29777313012875556, 0.16166523433017105, 0.12681590743681204, 0.11583180176076446]",HESQ24
5b2/pk1n2pp/1p3p2/4pP2/1R2P2P/3BB1P1/8/2r3K1 w - - 0 34,"['e3c1', 'g1f2', 'g1g2', 'g1h2', 'd3f1']","[0.24205519274435705, 0.10327249441731556, 0.08539072061698, 0.08368104652783925, 0.08172578028842459]",1ZNP5E
rnbqkbnr/ppp2ppp/4p3/3p4/8/2P1P3/PP1P1PPP/RNBQKBNR w KQkq - 0 3,"['g1f3', 'd2d4', 'a2a3', 'f2f4', 'b2b3', 'h2h3', 'd1c2', 'a2a4', 'd2d3', 'f1e2', 'd1a4', 'b2b4', 'c3c4', 'g2g3', 'd1b3', 'f2f3', 'g1e2', 'f1b5', 'b1a3', 'h2h4', 'd1e2', 'f1d3', 'g1h3', 'd1f3', 'd1g4', 'd1h5', 'e1e2', 'e3e4', 'g2g4', 'f1c4', 'f1a6']","[0.497238468079986, 0.49631798655933523, 0.49079583987119135, 0.4825172499538834, 0.47700323643230064, 0.47608474251652944, 0.4733302559691369, 0.46874313267512907, 0.4669097177008696, 0.46416128552924907, 0.46324561670945996, 0.4559296988800415, 0.45501647940453177, 0.45319095389262815, 0.45319095389262815, 0.4477221183422858, 0.44226590014833245, 0.4386360651319824, 0.43501278527292314, 0.4341080334601539, 0.4341080334601539, 0.43139643471891215, 0.4241860033205554, 0.4196956162806843, 0.41164679702450635, 0.4089741028083871, 0.40364496835363256, 0.40364496835363256, 0.3816967754233412, 0.11734875537361839, 0.08625738291273272]",YFEYD0
8/p1p2pp1/1pP2n1p/4K2P/1k3P2/8/1P6/8 b - - 2 35,"['b4c4', 'b4c5', 'b4a5', 'b4b5', 'b4a4', 'f6h5', 'f6g4', 'b4b3', 'a7a6', 'b6b5', 'f6h7', 'a7a5', 'f6e8', 'f6g8', 'f6e4', 'f6d5', 'g7g6', 'g7g5', 'f6d7']","[0.9545696471055869, 0.9539266390139903, 0.9526145525872541, 0.9526145525872541, 0.9521134241853771, 0.94953142496586, 0.9486418338426437, 0.9481009805883831, 0.9479195027365241, 0.9475547464901857, 0.9451244044725028, 0.9437721868953504, 0.9435764731557199, 0.9433801190586649, 0.8499564694373473, 0.8442339860303731, 0.7991162424527938, 0.7255317251331461, 0.08481733928130131]",DFTD0Q
5rk1/pp1R1pp1/8/2p1p2b/4P3/2N4P/PPP2P2/6K1 b - - 1 22,"['h5f3', 'b7b5', 'f8b8', 'a7a6', 'f8e8', 'a7a5', 'c5c4', 'f8a8', 'f7f6', 'f8c8', 'g8h7', 'g8h8', 'b7b6', 'f7f5', 'h5g6', 'g7g5', 'g7g6', 'h5e2', 'h5d1', 'h5g4', 'f8d8']","[0.4404501867400794, 0.4386360651319824, 0.4214902195015801, 0.4018735643137257, 0.38343625677752047, 0.37563269360828333, 0.37563269360828333, 0.3730455687844096, 0.36874985869153015, 0.36703734109527436, 0.36192003565750486, 0.3585257312416039, 0.3475931508498015, 0.33517593247566096, 0.3335369512006218, 0.33027105825721115, 0.32217808052909447, 0.10993341208440888, 0.10921491048911158, 0.09132043609196017, 0.07688776954513865]",9WN2PI
8/8/1ppp4/pN2k3/4Pp1r/3P1Kn1/PPP5/R7 w - - 0 41,"['b5a7', 'd3d4', 'b5c7', 'b5c3', 'b5a3', 'b5d6', 'b2b4', 'c2c4', 'a2a4', 'c2c3', 'a1e1', 'b5d4', 'b2b3', 'a1d1', 'a1c1', 'a2a3', 'a1b1', 'a1g1', 'f3g2', 'f3f2', 'a1h1', 'a1f1']","[0.5239152574834706, 0.5082839219143761, 0.477921885909709, 0.46874313267512907, 0.4513666864926168, 0.24476757181231845, 0.20029332613389939, 0.1956167070159846, 0.19102319886093233, 0.18539779231227405, 0.18263344241323198, 0.1799012073028387, 0.17935860527856373, 0.1772009855540524, 0.17347424696948943, 0.17032942052712574, 0.17032942052712574, 0.1698097103394629, 0.1672300700782952, 0.1626657842885849, 0.1309495413845757, 0.1227943211955751]",QPJOYR
2k1r2r/pp1q2p1/2p2P2/2np4/P5Pp/1QP1PP2/1P1NK2P/R4R2 w - - 3 25,"['b3b4', 'b3c2', 'b3a3', 'b3a2', 'f6g7', 'b3d1', 'f6f7', 'f1f2', 'a4a5', 'e2f2', 'h2h3', 'a1d1', 'a1b1', 'a1c1', 'a1e1', 'f1d1', 'b3b6', 'f1b1', 'b3b5', 'g4g5', 'f1c1', 'f1e1', 'b3b7', 'e2d1', 'a1a3', 'e2e1', 'f1h1', 'e3e4', 'f1g1', 'f3f4', 'c3c4', 'b3d5', 'a1a2', 'd2e4', 'd2c4', 'b3c4', 'd2b1']","[0.5838871815019091, 0.5266697440308632, 0.5128844269647328, 0.4304934733529298, 0.3904236728688792, 0.3459250441719453, 0.1831837401142804, 0.10090987209463725, 0.09794280511446124, 0.09794280511446124, 0.09794280511446124, 0.09442218785969808, 0.09442218785969808, 0.09410781540650409, 0.09317031936972209, 0.09285968753405982, 0.09224121164974286, 0.09101535279101453, 0.09101535279101453, 0.09071118696593633, 0.0904079365368638, 0.09010559942406182, 0.08950365682918204, 0.08860754082683975, 0.08713200331229709, 0.08654803604674943, 0.08596761401203978, 0.08596761401203978, 0.08311810201340841, 0.08200253407846159, 0.08090061761863632, 0.07793966348758313, 0.0776754614263434, 0.07688776954513865, 0.07108823921840635, 0.06988207243894301, 0.0647967765156155]",P50KT2
5r2/7k/2R2Ppp/8/p6B/p1P5/P1B3PP/5R1K w - - 0 35,"['f6f7', 'f1a1', 'f1c1', 'f1b1', 'c6c7', 'f1d1', 'c2b1', 'c2d3', 'f1g1', 'f1e1', 'c2e4', 'c6c5', 'h4g3', 'c6a6', 'f1f2', 'h1g1', 'f1f3', 'c6b6', 'c6c4', 'h2h3', 'c6d6', 'h4e1', 'g2g4', 'g2g3', 'c3c4', 'c2a4', 'h4f2', 'c6e6', 'c2d1', 'f1f4', 'h4g5', 'c2f5', 'c2g6', 'c6c8', 'c2b3', 'f1f5']","[1.0, 1.0, 1.0, 1.0, 1.0, 0.9994246141113048, 0.9992445340988422, 0.9991532649936272, 0.997869091325086, 0.9977812071184902, 0.9965904764172604, 0.9959040953725105, 0.9928536901970566, 0.9924509510252449, 0.9915149601411747, 0.9894008165609117, 0.9891270851355585, 0.9883906884809148, 0.9846436450133575, 0.9845878705188134, 0.9839028252163735, 0.9838444042013225, 0.9830656906236381, 0.9825682679691763, 0.9819262713969259, 0.9815299915791561, 0.9814631211519271, 0.9807116909559263, 0.9804311045748682, 0.97819540322349, 0.9764837160701867, 0.9668430965337977, 0.9638902789721531, 0.9552041026722664, 0.9493546818291817, 0.9458832890413328]",8HF8H0
rn1qk1nr/pp4bp/2p3p1/3ppb2/8/2NP1Q2/PPP2PPP/R1B1KBNR w KQkq - 1 8,"['g2g4', 'h2h3', 'f3d1', 'g2g3', 'f3e2', 'f3g3', 'h2h4', 'g1e2', 'f1e2', 'c3e2', 'a2a4', 'g1h3', 'c1d2', 'a2a3', 'a1b1', 'c3d1', 'c3b1', 'b2b3', 'e1e2', 'e1d1', 'b2b4', 'e1d2', 'd3d4', 'c3e4', 'c3a4', 'f3e3', 'c1e3', 'c3d5', 'c1f4', 'c3b5', 'c1g5', 'f3f5', 'c1h6', 'f3e4', 'f3h3', 'f3d5', 'f3f4', 'f3g4', 'f3h5']","[0.38867247514924735, 0.38343625677752047, 0.3816967754233412, 0.3799603223030577, 0.37822693647667593, 0.3773614059219311, 0.3704656899332343, 0.3602211364871788, 0.3602211364871788, 0.35937299492456853, 0.3585257312416039, 0.3509405771225878, 0.34926500611173045, 0.3459250441719453, 0.3434299837156404, 0.32540282907907503, 0.30944966094531423, 0.29393782392203827, 0.28710753429786423, 0.2796306260994816, 0.27520211606290007, 0.2708173738774771, 0.2454488673960863, 0.20989659908230773, 0.18153670008412837, 0.17935860527856373, 0.17453266737981438, 0.1417856942140951, 0.1284558117032647, 0.1276336111356119, 0.09162643894872474, 0.08368104652783925, 0.06413060406412313, 0.06413060406412313, 0.05545132562355948, 0.04656129154388233, 0.03460295698005372, 0.03303906778830695, 0.03280460868830959]",98EYQQ
3r2nr/p1pk1ppp/2p1p3/2b2qN1/5P2/P2P4/1PPB2PP/R2Q1R1K b - - 4 15,"['d7e8', 'h7h6', 'c5b6', 'g8e7', 'c5d6', 'g8h6', 'f5g6', 'c5d4', 'd7c8', 'h7h5', 'c5e7', 'c5f8', 'd7e7', 'd8b8', 'a7a6', 'd8c8', 'd8e8', 'd8f8', 'd8a8', 'a7a5', 'f5f6', 'g8f6', 'g7g6', 'f7f6', 'f5d5', 'e6e5', 'c5a3', 'd7d6', 'c5e3', 'c5g1', 'c5f2', 'f5g5', 'c5b4', 'f5d3', 'f5f4', 'f5h3', 'f5g4', 'f5e4', 'f5e5']","[0.38343625677752047, 0.37822693647667593, 0.3585257312416039, 0.35261983069916264, 0.34926500611173045, 0.34926500611173045, 0.3459250441719453, 0.3294571208942188, 0.32702145260719145, 0.32540282907907503, 0.3229826967382582, 0.3181708609785677, 0.31737261263958383, 0.3086633877322417, 0.30319063909252536, 0.29393782392203827, 0.29393782392203827, 0.28861716692764805, 0.2788895198861058, 0.2708173738774771, 0.2516379230381391, 0.22237016798603204, 0.21606818783516446, 0.21482343464315956, 0.16417595629270143, 0.11965646568318677, 0.09859535787713025, 0.09826859886598244, 0.08396381614947102, 0.08090061761863632, 0.07820468799769881, 0.06706412608595291, 0.06435194965051655, 0.057611320258977305, 0.0468893050040472, 0.03728104017137718, 0.034973866201527426, 0.028035627443350086, 0.027736185643187417]",LF40OB
2K5/8/8/1r6/8/k7/8/8 b - - 3 54,"['b5b6', 'b5h5', 'b5g5', 'b5c5', 'b5e5', 'a3b4', 'b5a5', 'b5b4', 'b5d5', 'a3a2', 'a3a4', 'b5b3', 'b5f5', 'b5b1', 'b5b2', 'a3b2', 'a3b3', 'b5b7', 'b5b8']","[0.8711313970842215, 0.8703024236418141, 0.8639396241959597, 0.8599970469666809, 0.8582143057859049, 0.8573158502866657, 0.8555047041895522, 0.8550489426204343, 0.8545919878415965, 0.8518251137238009, 0.8513597626267853, 0.8508932058895783, 0.8508932058895783, 0.8504254419957314, 0.8504254419957314, 0.8490148923385837, 0.8480684627039938, 0.5, 0.5]",L2SI5R
r3k2r/1pp1bppp/2qpbn2/4p3/pPP1P2P/3PBPP1/P3N1B1/R2Q1RK1 b kq - 0 15,"['b7b5', 'e8g8', 'c6d7', 'h7h6', 'c6a6', 'h7h5', 'a4a3', 'e7d8', 'a8c8', 'g7g6', 'f6h5', 'b7b6', 'e7f8', 'a8d8', 'e6c8', 'f6g8', 'h8f8', 'e8d8', 'e8f8', 'h8g8', 'a8b8', 'g7g5', 'e6c4', 'e8c8', 'd6d5', 'a8a7', 'f6e4', 'f6g4', 'e6g4', 'e6f5', 'e6d7', 'e6d5', 'e6h3', 'f6d7', 'a8a6', 'e8d7', 'a8a5', 'c6b6', 'c6e4', 'f6d5', 'c6b5', 'c6c4', 'c6c5', 'c6d5']","[0.4825172499538834, 0.4586711116420767, 0.44226590014833245, 0.44135784741538037, 0.44135784741538037, 0.4322998523826144, 0.4196956162806843, 0.415218486764101, 0.4063067778943678, 0.4009888189823705, 0.4009888189823705, 0.40010471851325186, 0.3983384732724953, 0.3939345129435846, 0.38343625677752047, 0.3816967754233412, 0.37563269360828333, 0.37132483661091226, 0.3704656899332343, 0.3704656899332343, 0.3678931833857318, 0.25652269131137545, 0.22945266703370382, 0.21296608731927869, 0.20266286491422758, 0.19503797801426692, 0.17935860527856373, 0.1572241570074313, 0.1491067941104216, 0.1284558117032647, 0.09761797455048427, 0.09317031936972209, 0.09101535279101453, 0.08771953240973313, 0.08683957548832155, 0.08596761401203978, 0.08172578028842459, 0.07820468799769881, 0.06988207243894301, 0.06660484252279597, 0.05545132562355948, 0.054305499345811914, 0.04788657581462291, 0.03649617068082933]",411HE4
r7/pppkb3/2np1p2/8/4b3/2Q1P1P1/PPPB1P2/RN3KNq w - - 4 22,"['f1e2', 'c3c4', 'd2c1', 'f1e1', 'c3d3', 'c3a5', 'c3c6', 'c3b3', 'c3d4', 'f2f4', 'f2f3', 'c3b4', 'b2b3', 'c3a3', 'c3c5', 'g3g4', 'c3f6', 'b2b4', 'c3e5', 'a2a4', 'a2a3', 'b1a3', 'd2e1']","[0.1085005324218955, 0.1049899270693318, 0.10327249441731556, 0.08801463783567065, 0.08481733928130131, 0.07636671651344662, 0.072561005162597, 0.06869485746011517, 0.06822522266416714, 0.061105378420221235, 0.057411737157371245, 0.05411671095866716, 0.050292416024200315, 0.048562579965255204, 0.04738544741274592, 0.045911801549257114, 0.04495371501658807, 0.04189591869906967, 0.04087344053423547, 0.03889972076668535, 0.035727211667910985, 0.007094248509227796, 0.0]",J4ZLHR
1r4k1/Q5p1/4q2p/7P/1pr1pR2/3pP1P1/1P1R1P2/1K6 b - - 0 31,"['b8c8', 'e6c8', 'c4c8', 'b8d8', 'b8e8', 'e6c6', 'b8b5', 'b8f8', 'g8h7', 'c4c1', 'e6e8', 'b8b6', 'e6e5', 'b4b3', 'e6b6', 'c4c7', 'e6h3', 'c4c5', 'b8b7', 'e6d6', 'c4c6', 'c4c3', 'c4c2', 'g8h8', 'g7g6', 'g7g5', 'e6d5', 'b8a8', 'e6e7', 'e6a6', 'e6d7', 'e6f5', 'e6f6', 'e6g4', 'e6f7', 'e6g6', 'c4d4']","[0.9352032234843844, 0.8845447646163958, 0.8791750393023381, 0.8417975920880569, 0.8317418515310456, 0.7888795193695529, 0.7579448072556428, 0.6656440579806581, 0.6623581358171662, 0.531256867324871, 0.5248335896523929, 0.4377296159574105, 0.33190198331248677, 0.27154510710718377, 0.26575770228885515, 0.22109934903954387, 0.2154451591425247, 0.20029332613389939, 0.19102319886093233, 0.1799012073028387, 0.17827723949223973, 0.16825814846895443, 0.16417595629270143, 0.15145771517415685, 0.14540801215840354, 0.1322117556602187, 0.1284558117032647, 0.1049899270693318, 0.10395646446270596, 0.10090987209463725, 0.0904079365368638, 0.07927305137721596, 0.07662683689656646, 0.06089447299741191, 0.026664592911479768, 0.0, 0.0]",890R1J
2rr2k1/p3q1bp/4p1p1/5p2/3p4/P3PP1P/1B2QPRK/R7 w - - 0 27,"['e3d4', 'b2d4', 'e2a6', 'e2f1', 'a1b1', 'e2e1', 'e2d1', 'a1d1', 'a1a2', 'e2d3', 'a1c1', 'e2d2', 'h2g1', 'g2g6', 'f3f4', 'e3e4', 'g2g3', 'g2g1', 'e2b5', 'h3h4', 'a1g1', 'a1e1', 'a1f1', 'a1h1', 'a3a4', 'h2h1', 'b2c3', 'b2c1', 'h2g3', 'g2g4', 'g2g5', 'e2c4', 'e2c2']","[0.3869241464463639, 0.3851787270047305, 0.28710753429786423, 0.2509451617398634, 0.2262138557091269, 0.22364619396018004, 0.17666477329070246, 0.16116682502020485, 0.15528242303659195, 0.15193153729600622, 0.1227943211955751, 0.12043437276310126, 0.11734875537361839, 0.11507973387664883, 0.11321813012886112, 0.10921491048911158, 0.10638197729176951, 0.10361398030487234, 0.10259250923752877, 0.09826859886598244, 0.09794280511446124, 0.09664924125145591, 0.09410781540650409, 0.09254998565401296, 0.09224121164974286, 0.08860754082683975, 0.08144987765416223, 0.08090061761863632, 0.08062725610318067, 0.07688776954513865, 0.07507822752621851, 0.05861904138401908, 0.04249112822828516]",60Z4Z4
r3r1k1/ppp2ppp/2n1b3/4N3/5P2/2QB4/P1P3PP/1R3RK1 b - - 2 16,"['c6e5', 'e6d5', 'a7a5', 'e8d8', 'a8d8', 'e6a2', 'a7a6', 'h7h5', 'g7g6', 'f7f6', 'h7h6', 'g8h8', 'a8c8', 'a8b8', 'e8c8', 'f7f5', 'e8b8', 'e8f8', 'e8e7', 'c6b8', 'e6f5', 'c6e7', 'g7g5', 'e6c8', 'c6d4', 'g8f8', 'c6d8', 'b7b6', 'e6h3', 'e6g4', 'c6b4', 'b7b5', 'e6d7', 'c6a5', 'e6b3', 'e6c4']","[0.10957364483519622, 0.09473750066487285, 0.08654803604674943, 0.08311810201340841, 0.08311810201340841, 0.08090061761863632, 0.08008305980061614, 0.07847053699808193, 0.07847053699808193, 0.07793966348758313, 0.0776754614263434, 0.07559120864726726, 0.0718211393064348, 0.07060348244255998, 0.06775856494525972, 0.06729486861836093, 0.06614848131031625, 0.06457400649394152, 0.06347081567518353, 0.06195584660125636, 0.05985012182014682, 0.05882255957786381, 0.05882255957786381, 0.058213984479502656, 0.05801244208956258, 0.05681687720615164, 0.054684939853249404, 0.05449490838555032, 0.0518990194116169, 0.0506453181708183, 0.04959358724764201, 0.047054134543335346, 0.04324650816226028, 0.039037614932279086, 0.038352804077394276, 0.03649617068082933]",K6142E
r1bq1rk1/pp3pb1/3P1np1/4p2p/2BnP3/2N1BP2/PPPQ2PP/R3K1NR w KQ - 2 11,"['g1e2', 'c3d5', 'c4b3', 'c3b5', 'e1c1', 'c4d5', 'a1d1', 'd2d3', 'c3e2', 'e3f2', 'a2a4', 'h2h3', 'e3d4', 'c4f1', 'c3d1', 'd6d7', 'b2b3', 'a2a3', 'e3g5', 'c4d3', 'h2h4', 'c4b5', 'a1c1', 'd2f2', 'f3f4', 'a1b1', 'd2d1', 'g2g4', 'e1f2', 'c3b1', 'd2c1', 'c4e2', 'e1d1', 'e3f4', 'c3a4', 'e1f1', 'g2g3', 'b2b4', 'e3h6', 'c4f7', 'c4a6', 'g1h3', 'c4e6', 'd2d4', 'd2e2']","[0.7188835525772427, 0.700684702726408, 0.6991379705974721, 0.6975866953111407, 0.6936887774077353, 0.6656440579806581, 0.6573997938422768, 0.6557392814366, 0.6380799643424951, 0.6321068166142683, 0.6312501413084699, 0.6260928550975975, 0.6252304785769166, 0.6209067564512851, 0.6113275248507526, 0.6095763271311208, 0.5990111810176295, 0.5963550316463674, 0.5963550316463674, 0.5945811119487451, 0.5945811119487451, 0.591915609324709, 0.5901355884591462, 0.5874611371519987, 0.5874611371519987, 0.5838871815019091, 0.5767131009559461, 0.5749143902876699, 0.5740142874632654, 0.5713110574149894, 0.5667962794387497, 0.5568256609665037, 0.5440703011199586, 0.5376698043044984, 0.5349228039541688, 0.5321736834106171, 0.5229967635676993, 0.5064432832995209, 0.4089741028083871, 0.32621162296292944, 0.2759371730995885, 0.26647680798493956, 0.2275054850760267, 0.15625083235725656, 0.14404072586099298]",2OEN0T
r1bqkbnr/pp3pp1/2npp2p/8/2B1P3/2N2N2/PP2QPPP/R1B2RK1 b kq - 1 8,"['c8d7', 'g8e7', 'g8f6', 'f8e7', 'a7a6', 'e6e5', 'g7g5', 'd8c7', 'a8b8', 'c6a5', 'd8a5', 'g7g6', 'd8b6', 'c6e5', 'a7a5', 'h6h5', 'd8f6', 'b7b6', 'c6e7', 'e8d7', 'e8e7', 'h8h7', 'c6b4', 'c6b8', 'd8d7', 'd8e7', 'b7b5', 'f7f6', 'f7f5', 'c6d4', 'd6d5', 'd8g5', 'd8h4']","[0.5138042910293155, 0.497238468079986, 0.4843562675785791, 0.47884068475933794, 0.47700323643230064, 0.46141502858974687, 0.4568432147802496, 0.4386360651319824, 0.4286889425850106, 0.4259857125367345, 0.41253886284800134, 0.41253886284800134, 0.4027589492090241, 0.4009888189823705, 0.39922126818820586, 0.36532817385496535, 0.36192003565750486, 0.35937299492456853, 0.35683385498256776, 0.3509405771225878, 0.35010232921435797, 0.3484286119517737, 0.3442607185634, 0.3434299837156404, 0.33846581558932665, 0.3359969188321382, 0.316575437139995, 0.28710753429786423, 0.22880230865038653, 0.10921491048911158, 0.09794280511446124, 0.07280918439112949, 0.06822522266416714]",OFAFVZ
