FEN,Move,Win Probability
rnbqkb1r/ppp2pp1/4pn1p/8/2BP1B2/2N2N2/PPP2PPP/R2QK2R b KQkq - 1 7,"['f8b4', 'b8c6', 'b8d7', 'a7a6', 'f8d6', 'f6d5', 'f8e7', 'c7c6', 'a7a5', 'c8d7', 'b8a6', 'f6h5', 'f6d7', 'g7g6', 'b7b6', 'g7g5', 'c7c5', 'h6h5', 'f6g4', 'f6h7', 'd8e7', 'b7b5', 'd8d7', 'h8h7', 'h8g8', 'f6g8', 'e8d7', 'e8e7', 'e6e5', 'f8a3', 'f8c5', 'f6e4', 'd8d6', 'd8d5', 'd8d4']","[0.4232868990440539, 0.4196956162806843, 0.415218486764101, 0.41343150341573687, 0.4098644115408538, 0.4063067778943678, 0.4054188880512549, 0.40364496835363256, 0.40364496835363256, 0.37132483661091226, 0.3576793498105364, 0.3551455424350716, 0.354302733312082, 0.3509405771225878, 0.3509405771225878, 0.3484286119517737, 0.3392907477206131, 0.3343559420193419, 0.33271896373429855, 0.32621162296292944, 0.31737261263958383, 0.316575437139995, 0.3141903798776102, 0.3047486873684638, 0.30163710052985643, 0.28260706642917927, 0.24956344857367774, 0.24681529249348733, 0.12004487506796785, 0.11773067562385076, 0.09826859886598244, 0.09473750066487285, 0.06822522266416714, 0.06303447793315453, 0.03959389505112215]"
4rrk1/p1p3p1/1p3qp1/3R1p2/1PP2P2/P3p1P1/4Q2P/3R2K1 b - - 2 25,"['e8e7', 'f8f7', 'g6g5', 'e8e4', 'e8e6', 'f6c3', 'g8h7', 'a7a5', 'f6f7', 'c7c5', 'f6c6', 'c7c6', 'a7a6', 'g8h8', 'b6b5', 'f6e6', 'g8f7', 'f6e7', 'e8c8', 'e8d8', 'e8b8', 'e8a8', 'f6d6', 'f6d8', 'e8e5', 'f6b2', 'f6h4', 'f6e5', 'f6g5', 'f6d4', 'f6a1']","[0.6689139863954203, 0.664824067524339, 0.664824067524339, 0.6557392814366, 0.6515713880482262, 0.6346718261450347, 0.6104522820914586, 0.6069442398881181, 0.6016615267275047, 0.5749143902876699, 0.5740142874632654, 0.5695065266470701, 0.5677001476173855, 0.5622703840425896, 0.5477213400816676, 0.5413288883579234, 0.5294226081270875, 0.5239152574834706, 0.5138042910293155, 0.5138042910293155, 0.5073636275599663, 0.49355671670047907, 0.14771073929444967, 0.13263477974550358, 0.11507973387664883, 0.10708408206807812, 0.10638197729176951, 0.10533642481155803, 0.10533642481155803, 0.09348188324070156, 0.09132043609196017]"
rnbqkbnr/pppp2pp/5p2/4p3/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 1 3,"['b8c6', 'd7d5', 'd7d6', 'c7c6', 'e5d4', 'f8e7', 'd8e7', 'a7a6', 'f8d6', 'f8b4', 'g7g6', 'a7a5', 'b7b6', 'g8e7', 'b8a6', 'h7h5', 'g8h6', 'c7c5', 'f6f5', 'b7b5', 'e8e7', 'e8f7', 'h7h6', 'g7g5', 'f8c5', 'f8a3']","[0.3678931833857318, 0.3661823363988792, 0.3517797456776559, 0.35010232921435797, 0.3459250441719453, 0.3343559420193419, 0.33190198331248677, 0.32702145260719145, 0.3237883625149461, 0.3181708609785677, 0.31498431756230216, 0.31339752781910246, 0.29854364172866005, 0.29777313012875556, 0.2916505347851929, 0.2730042477661579, 0.27009086783348246, 0.26360782809954386, 0.2523319525399643, 0.24138030361930346, 0.23075727435752347, 0.23010432245165907, 0.18875753377152027, 0.17935860527856373, 0.10057629832289083, 0.08481733928130131]"
8/3p4/5kp1/1NB4p/8/2P5/P5PP/R5K1 w - - 0 32,"['a2a4', 'b5c7', 'a1e1', 'b5d6', 'a2a3', 'a1f1', 'a1d1', 'c5f2', 'b5d4', 'c3c4', 'c5d6', 'a1b1', 'c5d4', 'c5b6', 'a1c1', 'h2h4', 'g1f1', 'c5e3', 'b5a7', 'c5b4', 'h2h3', 'c5a3', 'c5f8', 'g2g3', 'c5a7', 'g1f2', 'g1h1', 'b5a3', 'g2g4', 'c5e7']","[0.9840768442268337, 0.982880813280861, 0.9826939531038639, 0.9825682679691763, 0.980501623964009, 0.9797120232023351, 0.9793428411175713, 0.9793428411175713, 0.9786616723085995, 0.9786616723085995, 0.9783519226517307, 0.9777992484582009, 0.9777191775362262, 0.9777191775362262, 0.9776388244286653, 0.9773145711648148, 0.9773145711648148, 0.9773145711648148, 0.9770683715938003, 0.9768195634518588, 0.976652229194574, 0.9759710244219573, 0.9757106060465702, 0.9749127326137823, 0.9742745648253017, 0.9742745648253017, 0.9741821171697342, 0.9721643472595091, 0.9705249772359759, 0.9692343898967323]"
8/1p6/p7/P1p5/2P5/1P1k4/1K1q4/8 w - - 9 59,"['b2b1', 'b2a3', 'b2a1']","[0.0, 0.0, 0.0]"
r1bqkb1r/ppp2ppp/2np1n2/8/2BNP3/8/PPP2PPP/RNBQK2R w KQkq - 0 6,"['e1g1', 'b1c3', 'd4c6', 'c1g5', 'c4b5', 'c4d5', 'c1e3', 'c1f4', 'c4b3', 'f2f3', 'd4f3', 'a2a3', 'd4b5', 'a2a4', 'c2c3', 'h2h3', 'b2b3', 'd1d3', 'c4e2', 'd4e2', 'b1a3', 'd4b3', 'd1d2', 'g2g3', 'c4f1', 'd4f5', 'b2b4', 'h2h4', 'h1g1', 'f2f4', 'e1f1', 'e1e2', 'h1f1', 'e4e5', 'g2g4', 'c4f7', 'c1h6', 'c1d2', 'c4a6', 'b1d2', 'c4d3', 'd1f3', 'd1e2', 'e1d2', 'c4e6', 'd4e6', 'd1h5', 'd1g4']","[0.5595498132599205, 0.5531881623684916, 0.5440703011199586, 0.522078114090291, 0.5211593152406621, 0.5165632973121441, 0.5119644756166626, 0.5119644756166626, 0.497238468079986, 0.49079583987119135, 0.47700323643230064, 0.47516641034760715, 0.4733302559691369, 0.467826316589383, 0.467826316589383, 0.4605001214877426, 0.45958548047804854, 0.454103562397001, 0.4504550396254112, 0.44226590014833245, 0.4377296159574105, 0.4368235823566406, 0.43501278527292314, 0.42508560971233006, 0.4232868990440539, 0.4179031343602754, 0.41164679702450635, 0.410755311431655, 0.40808439067529095, 0.3904236728688792, 0.3816967754233412, 0.34926500611173045, 0.34926500611173045, 0.3475931508498015, 0.33108601360457973, 0.23536418926249292, 0.1831837401142804, 0.1809902538736936, 0.1708503939715894, 0.16774348040130993, 0.16017373139259594, 0.15193153729600622, 0.14495105737956576, 0.13305894980200939, 0.1284558117032647, 0.11101893141984764, 0.05262853537987727, 0.04942032339780161]"
1r1q1rk1/4bpp1/p2p4/1ppP2p1/4P3/3Q1PB1/PP4PP/R4RK1 b - - 1 18,"['e7f6', 'b8c8', 'f8e8', 'c5c4', 'd8d7', 'b8b7', 'd8c7', 'd8b6', 'b8b6', 'a6a5', 'b8a8', 'd8c8', 'g7g6', 'd8a5', 'd8e8', 'g8h8', 'g5g4', 'f7f6', 'b5b4', 'g8h7', 'f7f5']","[0.5595498132599205, 0.5495449603745888, 0.5486333135073832, 0.545896437602999, 0.545896437602999, 0.5449835205954683, 0.5431567852197504, 0.53675438329054, 0.5358387144707508, 0.5340066578563346, 0.5211593152406621, 0.5174827500461167, 0.5128844269647328, 0.5101243359708437, 0.5046024700028845, 0.5, 0.4917160780856239, 0.49079583987119135, 0.4852759384118717, 0.47516641034760715, 0.4705773918729125]"
5rk1/p6n/2p5/3p1qP1/P2PpP2/4P3/2Q3P1/5RK1 b - - 1 26,"['h7g5', 'f8c8', 'c6c5', 'f8f7', 'f5e6', 'g8g7', 'f8b8', 'f5g6', 'a7a5', 'g8h8', 'f5d7', 'f5f7', 'f5c8', 'a7a6', 'f8d8', 'f8a8', 'f8e8', 'g8f7', 'f5g4', 'h7f6', 'f8f6', 'f5f6', 'f5g5', 'f5f4', 'f5e5', 'f5h3']","[0.6252304785769166, 0.5449835205954683, 0.5440703011199586, 0.5285051773118131, 0.5229967635676993, 0.5101243359708437, 0.5, 0.4981589683200522, 0.4944771046316658, 0.48987566402915633, 0.48895555679024805, 0.4852759384118717, 0.48343670268785593, 0.48067870579756605, 0.4650771960458313, 0.46324561670945996, 0.45958548047804854, 0.4009888189823705, 0.40010471851325186, 0.3181708609785677, 0.1500435305626528, 0.09761797455048427, 0.08683957548832155, 0.08311810201340841, 0.06637629759533209, 0.0650202616394161]"
4B3/8/5p2/p4K2/nk1b2P1/8/8/8 w - - 0 57,"['f5e4', 'f5f4', 'f5g6', 'e8g6', 'e8c6', 'e8d7', 'f5e6', 'e8h5', 'e8f7', 'g4g5', 'e8a4', 'e8b5']","[0.16017373139259594, 0.15383900101915987, 0.14864023737321475, 0.1463255076659773, 0.1400029530333191, 0.13780095806432646, 0.1351970515980852, 0.1347671251678204, 0.12519393136296175, 0.12479122466512271, 0.09473750066487285, 0.06845966694569416]"
4rb1r/3n1Npk/2p2n2/1pq2P1p/p6P/2N1Q3/PPP3P1/R1B2RK1 w - - 3 19,"['f7g5', 'e3c5', 'e3f2', 'c3a4', 'f1f3', 'c3e4', 'f1e1', 'c3d1', 'c3b5', 'b2b4', 'g2g4', 'g2g3', 'g1h2', 'c3d5', 'g1h1', 'c1d2', 'a2a3', 'c3e2', 'f1d1', 'f7e5', 'f7h8', 'a1b1', 'f7d8', 'f1f2', 'g1f2', 'b2b3', 'c3b1', 'f7d6', 'f1f4', 'f7h6', 'e3d4']","[0.5776116974476763, 0.5294226081270875, 0.4917160780856239, 0.24613144130277942, 0.20266286491422758, 0.19619673470860033, 0.1956167070159846, 0.1596790445050985, 0.1458661617291349, 0.1444952958104478, 0.14358734593333494, 0.1417856942140951, 0.1364937770513217, 0.1309495413845757, 0.12722419810075325, 0.12438962914872875, 0.12121664079671651, 0.11888290410869823, 0.1165881370128245, 0.11620943498073888, 0.11138285043817636, 0.1012444276691743, 0.10024370428970547, 0.10024370428970547, 0.09729410510118269, 0.09101535279101453, 0.09101535279101453, 0.08980417354795867, 0.08567872727108866, 0.07330789078382272, 0.04058571893540408]"
r1b1k2r/1pp1n1pp/p2p1p2/3P4/3BP3/5P2/P4KPP/R6R b kq - 1 16,"['e8d7', 'b7b6', 'c8d7', 'e8g8', 'h8f8', 'h8g8', 'h7h5', 'b7b5', 'c7c6', 'a6a5', 'c7c5', 'a8b8', 'e8d8', 'h7h6', 'e8f7', 'e7g6', 'e8f8', 'e7g8', 'c8f5', 'f6f5', 'g7g6', 'e7d5', 'g7g5', 'e7f5', 'e7c6', 'c8e6', 'c8g4', 'c8h3', 'a8a7']","[0.8719558516110355, 0.8719558516110355, 0.8711313970842215, 0.8711313970842215, 0.8673652202544965, 0.8669410501979907, 0.8643718654361714, 0.8643718654361714, 0.8626359335348552, 0.8604397898547235, 0.8604397898547235, 0.8573158502866657, 0.856864845578129, 0.8555047041895522, 0.8518251137238009, 0.8508932058895783, 0.8499564694373473, 0.8162646767950037, 0.8162646767950037, 0.8134874545019302, 0.7705473329662962, 0.742774437476965, 0.7277259343110861, 0.7233265559941559, 0.7196270640184792, 0.6818291390214323, 0.6490594228774123, 0.6380799643424951, 0.3442607185634]"
r1b1r1k1/2p1qpp1/p2p3p/np1Pp3/8/PB1P1N1P/1PP2PP1/R2Q1RK1 b - - 0 15,"['a5b3', 'g7g5', 'c8d7', 'a5b7', 'e8f8', 'c8f5', 'a8b8', 'c7c6', 'e7f6', 'f7f5', 'c7c5', 'g8h7', 'e7d7', 'e7f8', 'g8f8', 'a8a7', 'e7d8', 'g8h8', 'f7f6', 'e8d8', 'g7g6', 'h6h5', 'c8b7', 'e5e4', 'b5b4', 'c8h3', 'a5c4', 'c8g4', 'c8e6', 'a5c6', 'e7g5', 'e7e6', 'e7h4']","[0.7083494652148071, 0.5513672504375507, 0.5321736834106171, 0.5202403732122675, 0.519321294202434, 0.5165632973121441, 0.5128844269647328, 0.5092041601288086, 0.5092041601288086, 0.5055228953683342, 0.5018410316799476, 0.5, 0.5, 0.497238468079986, 0.49539752999711567, 0.49539752999711567, 0.49355671670047907, 0.49079583987119135, 0.4825172499538834, 0.48067870579756605, 0.47700323643230064, 0.4724124461074959, 0.4705773918729125, 0.4196956162806843, 0.3426002061577233, 0.2970037651435491, 0.18484234856825787, 0.1646818444286432, 0.1491067941104216, 0.14268414971333432, 0.08255860336706944, 0.061105378420221235, 0.05964327369633404]"
r1b5/1pprnpkp/p3pnp1/8/2P5/2N2N2/PPB2PPP/3RR1K1 b - - 3 18,"['b7b6', 'd7d1', 'h7h5', 'b7b5', 'a8b8', 'd7d6', 'h7h6', 'e7f5', 'e7c6', 'a8a7', 'f6g4', 'f6e8', 'g7f8', 'f6g8', 'f6h5', 'e7g8', 'g7g8', 'c7c5', 'c7c6', 'a6a5', 'e6e5', 'g6g5', 'g7h6', 'g7h8', 'f6d5', 'e7d5', 'f6e4', 'd7d5', 'd7d2', 'd7d8', 'd7d3', 'd7d4']","[0.6329626589047256, 0.6252304785769166, 0.5847815132358991, 0.5812008926446736, 0.5785097804984198, 0.5785097804984198, 0.5740142874632654, 0.5695065266470701, 0.5649872147270768, 0.5649872147270768, 0.5522778816577142, 0.5504562746820834, 0.5440703011199586, 0.5422429789460687, 0.5358387144707508, 0.5340066578563346, 0.5321736834106171, 0.5294226081270875, 0.5119644756166626, 0.5009205189599892, 0.48343670268785593, 0.4825172499538834, 0.46874313267512907, 0.46416128552924907, 0.2204658929761425, 0.2050532483330516, 0.17347424696948943, 0.11773067562385076, 0.09632824270174412, 0.09410781540650409, 0.09193336344131242, 0.09071118696593633]"
rn1qkbnr/pp3ppp/4p3/1QppP3/3P1P2/8/PPP3PP/RNB1K1NR b KQkq - 1 7,"['d8d7', 'b8c6', 'b8d7', 'e8e7']","[0.5495449603745888, 0.5358387144707508, 0.5248335896523929, 0.3851787270047305]"
rnbqkbnr/pp2pppp/2p5/8/2pP4/4PN2/PP3PPP/RNBQKB1R b KQkq - 0 4,"['c8g4', 'b7b5', 'c8f5', 'c8e6', 'a7a6', 'd8c7', 'e7e6', 'c6c5', 'b8d7', 'g8f6', 'g7g6', 'd8a5', 'b7b6', 'a7a5', 'g8h6', 'c8d7', 'e7e5', 'd8b6', 'd8d6', 'b8a6', 'h7h6', 'd8d7', 'c4c3', 'd8d5', 'g7g5', 'h7h5', 'e8d7', 'f7f6', 'f7f5', 'c8h3', 'd8d4']","[0.46324561670945996, 0.44954372531791664, 0.44408315815517135, 0.4377296159574105, 0.4304934733529298, 0.4241860033205554, 0.4223883025523238, 0.4223883025523238, 0.4196956162806843, 0.4098644115408538, 0.4098644115408538, 0.4027589492090241, 0.4009888189823705, 0.39657487064657393, 0.3948139524217644, 0.38779794964864106, 0.3869241464463639, 0.38343625677752047, 0.3799603223030577, 0.3764966567002889, 0.37390714490240246, 0.3636223933562701, 0.3627707844161063, 0.3450924067173986, 0.34177138985111283, 0.33190198331248677, 0.3294571208942188, 0.32459507444197383, 0.31102551666780703, 0.11507973387664883, 0.035854279265790434]"
8/2K5/P3k1p1/6Pp/7P/8/4p3/8 b - - 0 52,"['e2e1q', 'e2e1r', 'e6f5', 'e6e5', 'e6e7', 'e6f7', 'e6d5', 'e2e1b', 'e2e1n']","[0.9315403330543057, 0.916036183850529, 0.5385849714102531, 0.5073636275599663, 0.5073636275599663, 0.5009205189599892, 0.3869241464463639, 0.17559617358710589, 0.10327249441731556]"
r4q1k/4b3/p3Qn2/1p6/3P4/2PKP3/P5rP/1R6 b - - 6 32,"['f6g4', 'f8h6', 'f8c8', 'g2h2', 'f8g7', 'f6h7', 'g2g5', 'g2g6', 'f8g8', 'h8g7', 'g2f2', 'g2g7', 'g2g4', 'f6h5', 'f8e8', 'a8c8', 'g2g8', 'a8e8', 'a8b8', 'h8h7', 'a8a7', 'a8d8', 'g2a2', 'b5b4', 'f6d5', 'f8b8', 'f6d7', 'g2d2', 'e7a3', 'f8d8', 'g2c2', 'f6g8', 'g2b2', 'e7d8', 'e7b4', 'e7d6', 'g2e2', 'e7c5', 'a6a5', 'f6e8', 'g2g1', 'g2g3', 'f6e4', 'f8f7']","[0.9324736524133876, 0.9269418544037995, 0.9246656829750429, 0.9238925936360204, 0.9238925936360204, 0.9151826607186987, 0.9122804675902669, 0.9116893600511021, 0.911094657452666, 0.9107959528114045, 0.9092888130340637, 0.9089846472089855, 0.907450014345987, 0.9027058948988173, 0.8914994675781045, 0.8841681982392355, 0.8776017467298654, 0.8686308617297157, 0.8586617598408057, 0.856412654066665, 0.8490148923385837, 0.8490148923385837, 0.8475934245090255, 0.8427758429925688, 0.8422873339987781, 0.837835112999932, 0.8358240437072986, 0.8353181555713568, 0.8337929818944791, 0.8332820836373895, 0.8312259245929859, 0.830190289660537, 0.8254673326201856, 0.8118056501869602, 0.8106779899506587, 0.8106779899506587, 0.8095451579973735, 0.8032219384766667, 0.8032219384766667, 0.8014701592238278, 0.7991162424527938, 0.7795341070238575, 0.7692427256424765, 0.2434088196633245]"
7k/2p5/3p2Qp/1P2p3/P5K1/2PP2P1/1r5r/8 b - - 0 37,"['b2f2', 'h2f2', 'b2a2', 'b2c2', 'h2d2', 'b2g2', 'b2d2', 'h2h1', 'b2e2', 'b2b1', 'e5e4', 'h2e2', 'h2c2', 'h2g2', 'd6d5', 'c7c6', 'c7c5', 'b2b3', 'b2b5', 'h2h4', 'h2h3', 'h2h5', 'b2b4', 'h6h5']","[0.33681889732873044, 0.2614691522497748, 0.2537238112045824, 0.2502536698554691, 0.23602749100093695, 0.22237016798603204, 0.22173410747470712, 0.21794509769450665, 0.21420301444757306, 0.19736068787568456, 0.18595452438873583, 0.18208442933129432, 0.1761298362785808, 0.1636713177029654, 0.15673687957968802, 0.12559775111922367, 0.1139595988024229, 0.110656053362296, 0.0723136059066038, 0.07206698462118566, 0.05943709526487312, 0.05841618363161599, 0.05336772854185651, 0.03484980600680582]"
4qr2/p5kp/4pnp1/4Qp2/2B5/8/PPPK4/6R1 b - - 2 29,"['e8c6', 'e8b8', 'e8d7', 'e8d8', 'e8a4', 'g7f7', 'f8f7', 'e8a8', 'e8e7', 'h7h5', 'g7h8', 'e8f7', 'e8c8', 'f8h8', 'a7a5', 'f5f4', 'g7h6', 'a7a6', 'h7h6', 'f8g8', 'g7g8', 'g6g5', 'e8b5']","[0.7724945149239734, 0.7672760967619577, 0.7504365514263222, 0.7434773086886245, 0.7406582830702547, 0.7385308477502253, 0.7196270640184792, 0.7196270640184792, 0.7181388417094262, 0.70145635827134, 0.6858096201223898, 0.6770173032617418, 0.6689139863954203, 0.6680980166875132, 0.664824067524339, 0.6590564612649169, 0.6582286101488871, 0.6573997938422768, 0.6465391720148663, 0.6456972666879179, 0.5577340998516674, 0.5165632973121441, 0.07280918439112949]"
8/4N2p/3k4/1p1B4/4P3/5P2/1q1NK1P1/8 w - - 2 37,"['e7f5', 'e7c8', 'e7c6', 'e7g8', 'd5g8', 'e7g6', 'f3f4', 'g2g4', 'g2g3', 'd5b3', 'd5b7', 'd5c6', 'd5e6', 'd5a8', 'e2d3', 'e2e1', 'd5f7', 'e2d1', 'e2e3', 'd5a2', 'e2f1', 'e4e5', 'd5c4', 'e2f2']","[0.7045315144213936, 0.5404145195219514, 0.5349228039541688, 0.5119644756166626, 0.26647680798493956, 0.2475004199080585, 0.24476757181231845, 0.22300753025901537, 0.22237016798603204, 0.22109934903954387, 0.21794509769450665, 0.2105078875691775, 0.20989659908230773, 0.20685972352259474, 0.2050532483330516, 0.2032585059804044, 0.1991163680760002, 0.1927360397463046, 0.1915928504041009, 0.18875753377152027, 0.18263344241323198, 0.16116682502020485, 0.14089196637896895, 0.09071118696593633]"
8/8/5K1P/5Bp1/R4k2/3pbb2/8/8 b - - 1 56,"['f4g3', 'f3e4', 'e3d4']","[0.23602749100093695, 0.1139595988024229, 0.047219514800256934]"
r2q1rk1/1bp2ppp/p2p4/1p1Pp3/1P6/1P3N2/1P1P1PPP/R1BQ1RK1 w - - 1 13,"['d2d4', 'f1e1', 'd2d3', 'f3e1', 'd1c2', 'd1e2', 'a1a3', 'h2h3', 'g1h1', 'a1a5', 'd1e1', 'g2g3', 'a1b1', 'a1a2', 'h2h4', 'g2g4', 'f3e5', 'f3d4', 'f3g5', 'f3h4', 'a1a6', 'a1a4']","[0.7943458971515726, 0.7769924697409847, 0.7572686349297898, 0.7469727509866535, 0.7434773086886245, 0.7349601640218837, 0.7320812691889782, 0.7240628269004115, 0.7240628269004115, 0.7203693739005184, 0.716645830340413, 0.7143973722366109, 0.6968093609074746, 0.6873942354748303, 0.6786254827184693, 0.6043059266170111, 0.39305576011188204, 0.3816967754233412, 0.34926500611173045, 0.30631122259226473, 0.20989659908230773, 0.2062562611938536]"
3R1b1r/prk3n1/2N4p/1Pp1p3/P7/8/1P4PP/2K1R3 w - - 2 29,"['d8a8', 'e1e5', 'e1f1', 'c1b1', 'e1d1', 'h2h4', 'g2g4', 'g2g3', 'h2h3', 'e1e2', 'e1g1', 'b2b4', 'e1h1', 'd8d5', 'c1d1', 'b2b3', 'd8d2', 'd8d1', 'd8d3', 'c1d2', 'e1e4', 'c1c2', 'e1e3', 'a4a5', 'c6a5', 'c6a7', 'b5b6', 'd8f8', 'c6e5', 'd8b8', 'd8d7', 'd8c8', 'c6e7', 'd8e8', 'd8d4', 'c6b8', 'c6d4', 'c6b4', 'd8d6']","[0.6473801693008373, 0.6338176636011208, 0.6122020503513589, 0.5303398401818216, 0.5165632973121441, 0.5018410316799476, 0.497238468079986, 0.49355671670047907, 0.48619570897068454, 0.4815979155878063, 0.48067870579756605, 0.47884068475933794, 0.477921885909709, 0.467826316589383, 0.4559296988800415, 0.45227865991833244, 0.4468118376315084, 0.4341080334601539, 0.4027589492090241, 0.39305576011188204, 0.3869241464463639, 0.38605107056395144, 0.3475931508498015, 0.2796306260994816, 0.27520211606290007, 0.1799012073028387, 0.17827723949223973, 0.17827723949223973, 0.1360603758040403, 0.1347671251678204, 0.13433835352772516, 0.13391073492623923, 0.12479122466512271, 0.12319149084862219, 0.11734875537361839, 0.11507973387664883, 0.11433191756669464, 0.10957364483519622, 0.10395646446270596]"
6r1/p4k1p/2p2P2/4b3/3pN1P1/1P1P3P/P1P5/5RK1 w - - 1 37,"['f1f5', 'g1g2', 'f1f3', 'a2a4', 'b3b4', 'f1a1', 'g1f2', 'f1f2', 'g1h1', 'a2a3', 'f1b1', 'f1d1', 'e4c5', 'e4d2', 'g4g5', 'f1e1', 'f1c1', 'e4f2', 'c2c4', 'c2c3', 'h3h4', 'e4d6', 'e4g3', 'e4c3', 'e4g5', 'f1f4']","[0.8936180227082305, 0.8776017467298654, 0.8772056788044249, 0.8772056788044249, 0.8760108570678772, 0.8756103708512714, 0.8739973141938563, 0.873184092563188, 0.873184092563188, 0.8698862377639089, 0.8686308617297157, 0.8648029484019147, 0.8613217564210567, 0.8586617598408057, 0.8550489426204343, 0.8393303421990779, 0.8233352267092976, 0.8190097461263064, 0.7196270640184792, 0.6802294368681915, 0.6051860475782356, 0.3376418641828339, 0.32459507444197383, 0.26647680798493956, 0.23936334447111163, 0.15431891796545932]"
3r1rk1/1p3ppp/2q2n2/4p3/3pP3/3P4/2PQ1PPP/R4RK1 w - - 2 22,"['h2h3', 'd2a5', 'a1a5', 'd2e2', 'a1a2', 'f2f4', 'g2g3', 'a1b1', 'd2b4', 'a1a7', 'f1c1', 'f1b1', 'a1a3', 'd2d1', 'd2g5', 'f1e1', 'g1h1', 'd2c1', 'a1e1', 'd2e1', 'a1d1', 'f1d1', 'h2h4', 'g2g4', 'f2f3', 'a1c1', 'c2c4', 'c2c3', 'a1a6', 'a1a4', 'a1a8', 'd2h6', 'd2f4', 'd2c3', 'd2e3']","[0.15288283121406654, 0.14724779489464035, 0.1444952958104478, 0.14313515442187086, 0.14133824015919433, 0.14044687122292038, 0.14044687122292038, 0.13911864088681591, 0.13911864088681591, 0.1369283400318172, 0.1364937770513217, 0.1364937770513217, 0.1364937770513217, 0.1360603758040403, 0.13391073492623923, 0.13263477974550358, 0.1317898757643592, 0.1309495413845757, 0.12969757635818585, 0.1288686029157785, 0.1284558117032647, 0.1280441483889645, 0.12722419810075325, 0.12559775111922367, 0.12559775111922367, 0.12200328516817582, 0.10743666150648551, 0.09958144717646433, 0.08144987765416223, 0.07662683689656646, 0.06799152265130198, 0.0650202616394161, 0.05244525350981433, 0.05135816615735628, 0.043552236438221814]"
r1bqrnk1/pp3pp1/2p4p/3pb2n/3P4/P1NBPN2/1PQ2PPP/R3R1K1 w - - 0 17,"['f3e5', 'd4e5', 'g2g4', 'e3e4', 'a1d1', 'c3d5', 'b2b4', 'd3h7', 'a1c1', 'd3f1', 'c3a4', 'g2g3', 'h2h3', 'a1b1', 'd3e2', 'c2a4', 'c2b3', 'c3b1', 'e1b1', 'd3f5', 'c3e2', 'g1h1', 'e1f1', 'b2b3', 'e1c1', 'g1f1', 'a1a2', 'h2h4', 'c3d1', 'c2e2', 'c3a2', 'e1e2', 'c2d1', 'a3a4', 'd3c4', 'f3h4', 'f3d2', 'c2c1', 'c3e4', 'e1d1', 'c2d2', 'd3b5', 'c3b5', 'c2b1', 'f3g5', 'd3a6', 'd3e4', 'd3g6']","[0.5829922971166973, 0.4659933421436654, 0.24408755556920003, 0.17506378427288877, 0.13263477974550358, 0.1322117556602187, 0.1301137622360911, 0.12928252385851996, 0.12640873729115243, 0.12479122466512271, 0.12438962914872875, 0.12438962914872875, 0.1227943211955751, 0.12082496069766191, 0.11773067562385076, 0.11734875537361839, 0.11734875537361839, 0.11734875537361839, 0.11620943498073888, 0.11507973387664883, 0.11433191756669464, 0.1139595988024229, 0.11321813012886112, 0.11284897623993229, 0.11284897623993229, 0.11248087332490314, 0.11211381938667214, 0.11174781242532256, 0.11174781242532256, 0.11174781242532256, 0.11174781242532256, 0.110656053362296, 0.10921491048911158, 0.10708408206807812, 0.10673252134178429, 0.10638197729176951, 0.1049899270693318, 0.10361398030487234, 0.10327249441731556, 0.10191649247758733, 0.10157996710955025, 0.09892308421915808, 0.09794280511446124, 0.09761797455048427, 0.09224121164974286, 0.09101535279101453, 0.08596761401203978, 0.08172578028842459]"
r3k1r1/ppp1n3/2np3Q/8/4P1q1/6B1/PP3P1P/RN2R1K1 b - - 1 19,"['c6d4', 'g8g6', 'e8d7', 'c6e5', 'a7a5', 'c6b4', 'b7b6', 'e8d8', 'g8f8', 'e7g6', 'a8d8', 'a7a6', 'a8c8', 'g8g7', 'b7b5', 'c6d8', 'a8b8', 'e8f7', 'g4f3', 'g8g5', 'g4g7', 'g4g6', 'c6a5', 'g4c8', 'g4g5', 'e7c8', 'g4d7', 'c6b8', 'd6d5', 'e7f5', 'e7d5', 'g4g3', 'g8h8', 'g4f4', 'g4e2', 'g4e6', 'g4e4', 'g4h4', 'g4f5', 'g4h3', 'g4h5', 'g4d1']","[0.603425129353426, 0.5266697440308632, 0.49355671670047907, 0.467826316589383, 0.4659933421436654, 0.4623301956955016, 0.4468118376315084, 0.44499235158754635, 0.44408315815517135, 0.4431743390334964, 0.4386360651319824, 0.4386360651319824, 0.4259857125367345, 0.4232868990440539, 0.41611281849809095, 0.41253886284800134, 0.41253886284800134, 0.410755311431655, 0.4027589492090241, 0.3939345129435846, 0.38605107056395144, 0.38430712075371815, 0.3509405771225878, 0.3450924067173986, 0.3442607185634, 0.3343559420193419, 0.3229826967382582, 0.32217808052909447, 0.25652269131137545, 0.14540801215840354, 0.1309495413845757, 0.110656053362296, 0.10779026169080513, 0.08453196045763806, 0.08311810201340841, 0.08172578028842459, 0.08035473751517275, 0.07741207977412268, 0.07330789078382272, 0.06799152265130198, 0.06089447299741191, 0.05985012182014682]"
